YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
2002,40,1.22262,1.16668,582,805,149,2060,754,176569
2002,41,1.33344,1.2165,683,872,127,2267,785,186355
2002,42,1.31929,1.13057,642,878,113,2176,831,192469
2002,43,1.49484,1.25246,728,1045,154,2599,863,207512
2002,44,1.47195,1.30237,823,1189,154,2907,909,223208
2002,45,1.58094,1.40551,887,1272,180,3225,930,229454
2002,46,1.49426,1.38437,851,1173,175,3097,923,223712
2002,47,1.40569,1.32563,802,1166,182,2967,922,223818
2002,48,1.6141,1.43475,834,978,186,2709,918,188814
2002,49,1.45967,1.25433,857,1117,206,3049,937,243078
2002,50,1.59896,1.25757,804,1179,182,2957,928,235136
2002,51,2.16697,1.58017,951,1404,212,3416,908,216179
2002,52,2.57842,1.98008,915,937,177,2857,865,144287
2003,1,2.38636,1.90428,1028,1019,251,3260,879,171193
2003,2,1.73621,1.5901,1068,1296,274,3729,926,234513
2003,3,2.06296,1.81559,1154,1798,241,4204,902,231550
2003,4,2.58113,2.41801,1373,2998,221,5696,927,235566
2003,5,2.93909,2.86635,1411,4064,282,7079,884,246969
2003,6,3.22539,3.16662,1606,4447,308,7782,889,245751
2003,7,3.06982,3.0155,1568,4224,291,7649,903,253656
2003,8,3.20044,2.9978,1694,3689,308,7228,871,241110
2003,9,2.44888,2.31957,1336,2583,287,5606,857,241683
2003,10,2.1344,1.94707,1015,2103,247,4450,839,228549
2003,11,1.99866,1.72985,880,1669,274,3810,835,220250
2003,12,1.93849,1.51837,737,1321,156,2987,795,196724
2003,13,1.41293,1.22616,624,1016,159,2439,775,198913
2003,14,1.23472,1.05433,506,846,135,2028,741,192349
2003,15,1.20005,1.07108,569,799,163,2082,735,194383
2003,16,0.910135,0.82612,440,539,106,1467,669,177577
2003,17,0.932265,0.820505,429,508,114,1445,682,176111
2003,18,0.692175,0.630846,275,444,84,1075,655,170406
2003,19,0.669406,0.63935,215,471,74,1005,613,157191
