YEAR,WEEK,TOTAL PATIENTS,Label,News Count,Abstract Count,Patent Count,GT Influenza,Label 7,Label 5
2018,12,957380,UP,4,52,30,16,U1,U1
2018,13,874750,DOWN,3,87,36,13,D3,D2
2018,14,937849,UP,1,50,23,11,U3,U2
2018,15,923041,DOWN,4,52,32,11,D1,D1
2018,16,936850,UP,15,69,25,9,U1,U1
2018,17,945759,UP,10,50,36,8,U1,U1
2018,18,913326,DOWN,8,77,32,7,D2,D2
2018,19,905868,DOWN,4,52,31,5,D1,D1
2018,20,903948,DOWN,13,66,39,5,N,N
2018,21,862825,DOWN,11,46,27,5,D2,D2
2018,22,785022,DOWN,10,91,25,4,D3,D2
2018,23,828488,UP,4,47,27,4,U3,U2
2018,24,772937,DOWN,5,57,24,3,D3,D2
2018,25,777692,UP,5,42,37,3,U1,U1
2018,26,798856,UP,10,78,31,3,U2,U1
2018,27,759335,DOWN,12,53,20,3,D2,D2
2018,28,841809,UP,20,49,35,3,U3,U2
2018,29,817849,DOWN,20,46,32,4,D2,D1
2018,30,800573,DOWN,32,43,28,3,D2,D1
2018,31,815725,UP,23,91,27,3,U1,U1
2018,32,796639,DOWN,74,40,31,4,D2,D1
2018,33,811337,UP,75,50,29,4,U1,U1
2018,34,765973,DOWN,50,61,23,5,D3,D2
2018,35,843545,UP,147,78,30,7,U3,U2
2018,36,835370,DOWN,87,56,31,7,D1,D1
2018,37,877135,UP,236,45,30,8,U2,U2
2018,38,852916,DOWN,533,44,32,9,D2,D1
2018,39,850685,DOWN,2433,109,38,9,N,N
2018,40,1252483,UP,2245,47,31,9,U3,U2
2018,41,1252846,UP,2545,58,24,10,N,N
2018,42,1249933,DOWN,2114,54,36,10,N,N
2018,43,1251776,UP,2248,44,34,9,N,N
2018,44,1254812,UP,2040,91,39,9,N,N
2018,45,1246860,DOWN,2156,56,23,9,D1,D1
2018,46,1164292,DOWN,2244,73,21,7,D3,D2
2018,47,1020898,DOWN,2365,49,20,10,D3,D2
2018,48,1292335,UP,2264,114,49,11,U3,U2
2018,49,1230419,DOWN,2006,64,31,11,D2,D2
2018,50,1209022,DOWN,2226,81,25,12,D1,D1
2018,51,1177786,DOWN,2004,66,47,14,D2,D1
2018,52,1047161,DOWN,1918,24,17,14,D3,D2
2019,1,1158023,UP,1825,117,21,16,U3,U2
2019,2,1233836,UP,2316,53,16,17,U3,U2
2019,3,1221478,DOWN,2067,42,25,19,D1,D1
2019,4,1184495,DOWN,2353,46,20,23,D2,D2
2019,5,1219521,UP,2209,84,23,23,U2,U1
2019,6,1331519,UP,2446,43,30,26,U3,U2
2019,7,1288318,DOWN,2506,61,22,27,D2,D2
2019,8,1257106,DOWN,2451,63,32,27,D2,D1
2019,9,1278001,UP,2365,105,37,30,U1,U1
2019,10,1256934,DOWN,2627,48,29,29,D1,D1
2019,11,1285646,UP,2307,82,39,27,U2,U1
2019,12,1257449,DOWN,2533,66,33,20,D2,D1
2019,13,1238213,DOWN,2710,101,30,16,D1,D1
2019,14,1226648,DOWN,2729,58,27,13,D1,D1
2019,15,1226170,DOWN,2410,61,33,10,N,N
2019,16,1174114,DOWN,2175,39,36,9,D2,D2
2019,17,1194101,UP,2470,62,31,8,U1,U1
2019,18,1195232,UP,2399,101,27,7,N,N
2019,19,1170273,DOWN,2465,48,16,6,D2,D1
2019,20,1084443,DOWN,2062,57,24,6,D3,D2
2019,21,1121166,UP,2198,61,24,4,U2,U2
2019,22,1050372,DOWN,2072,100,23,5,D3,D2
2019,23,1083994,UP,2330,52,25,4,U2,U2
2019,24,1050239,DOWN,2925,50,29,4,D2,D2
2019,25,1053569,UP,2711,70,21,4,N,N
2019,26,1040288,DOWN,2446,107,23,3,D1,D1
2019,27,978443,DOWN,2358,56,11,3,D3,D2
2019,28,1058265,UP,2390,57,29,3,U3,U2
2019,29,1054954,DOWN,2371,58,18,3,N,N
2019,30,1036508,DOWN,2745,65,19,3,D1,D1
2019,31,1038168,UP,2767,97,38,3,N,N
2019,32,1043747,UP,2494,43,28,4,U1,U1
2019,33,1076513,UP,2526,40,19,4,U2,U2
2019,34,1071703,DOWN,2540,60,19,5,N,N
2019,35,1095230,UP,2651,85,12,5,U2,U1
2019,36,1090741,DOWN,2354,55,11,7,N,N
2019,37,1162580,UP,2431,87,20,8,U3,U2
2019,38,1148137,DOWN,2811,68,21,9,D1,D1
2019,39,1163278,UP,2508,50,34,9,U1,U1
2019,40,1456967,UP,2611,92,25,9,U3,U2
2019,41,1436150,DOWN,2353,47,24,10,D1,D1
2019,42,1429897,DOWN,2417,60,19,10,N,N
2019,43,1473740,UP,2244,41,19,8,U2,U2
2019,44,1435277,DOWN,2160,79,11,10,D2,D1
2019,45,1463253,UP,2202,40,21,11,U1,U1
2019,46,1426760,DOWN,2379,73,25,12,D2,D1
