,Weekly_Date_Custom,Sentiment_negative,Sentiment_neutral,Sentiment_positive
0,2018-03-20,0.46840355,0.26569638,0.14823923
1,2018-03-27,0.21782391,0.18867613,0.16128981
2,2018-04-03,0.30223283,0.1872702,0.22694023
3,2018-04-10,0.24677846,0.26174396,0.25896534
4,2018-04-17,0.3467091,0.17176728,0.15309569
5,2018-04-24,0.27424204,0.20093422,0.19267318
6,2018-05-01,0.31753993,0.20550714,0.18428688
7,2018-05-08,0.2472024,0.13948219,0.1345508
8,2018-05-15,0.27096978,0.24185225,0.22365691
9,2018-05-22,0.26276338,0.22028153,0.1886769
10,2018-05-29,0.17093763,0.21181671,0.22910646
11,2018-06-05,0.34071752,0.18518601,0.16149886
12,2018-06-12,0.16158235,0.17167222,0.2190315
13,2018-06-19,0.1886672,0.18398133,0.22970916
14,2018-06-26,0.19295308,0.21439512,0.22873615
15,2018-07-03,0.45090833,0.1748269,0.117270544
16,2018-07-10,0.2705827,0.19834815,0.1941079
17,2018-07-17,0.28712785,0.18505734,0.18003048
18,2018-07-24,0.2849751,0.20089614,0.19326112
19,2018-07-31,0.23614137,0.19715494,0.20745073
20,2018-08-07,0.35817465,0.22076754,0.19670638
21,2018-08-14,0.3174368,0.2135016,0.17437546
22,2018-08-21,0.23659849,0.21756428,0.20208757
23,2018-08-28,0.29786068,0.21611193,0.18911543
24,2018-09-04,0.29064062,0.18924175,0.20084347
25,2018-09-11,0.29337597,0.20629132,0.17778304
26,2018-09-18,0.3111643,0.20213102,0.17712677
27,2018-09-25,0.34905794,0.19564146,0.1599984
28,2018-10-02,0.32580692,0.19666773,0.17155392
29,2018-10-09,0.35206062,0.19997206,0.16423905
30,2018-10-16,0.3429782,0.19001006,0.16031393
31,2018-10-23,0.33024886,0.19497071,0.17064764
32,2018-10-30,0.34302852,0.19802918,0.16542524
33,2018-11-06,0.34579226,0.19164997,0.16496906
34,2018-11-13,0.35714433,0.199928,0.16187641
35,2018-11-20,0.33311364,0.19746302,0.16729152
36,2018-11-27,0.34473464,0.19888814,0.17189775
37,2018-12-04,0.34213048,0.20104201,0.1655582
38,2018-12-11,0.34455937,0.2018993,0.16766874
39,2018-12-18,0.34196782,0.2050414,0.16698353
40,2018-12-25,0.3847466,0.19949126,0.15237811
41,2019-01-01,0.35875043,0.2107353,0.16245651
42,2019-01-08,0.3745279,0.20883575,0.16560446
43,2019-01-15,0.33625245,0.20522223,0.16915618
44,2019-01-22,0.28897175,0.18041426,0.17874143
45,2019-01-29,0.31091136,0.19063567,0.17372037
46,2019-02-05,0.3588434,0.20381185,0.16479307
47,2019-02-12,0.30563673,0.19271868,0.17673984
48,2019-02-19,0.2754254,0.18142349,0.18557328
49,2019-02-26,0.29146332,0.18655638,0.17926519
50,2019-03-05,0.29023543,0.18648303,0.17952128
51,2019-03-12,0.2803702,0.18238938,0.18395863
52,2019-03-19,0.28707382,0.1822072,0.1805883
53,2019-03-26,0.27229586,0.1773463,0.18346095
54,2019-04-02,0.3097819,0.1880239,0.1737094
55,2019-04-09,0.30548647,0.18902852,0.17620015
56,2019-04-16,0.32014236,0.18680748,0.16983898
57,2019-04-23,0.35307744,0.19363236,0.161059
58,2019-04-30,0.35749918,0.19263573,0.15914087
59,2019-05-07,0.34585458,0.19525,0.16639073
60,2019-05-14,0.3277017,0.19032308,0.16941723
61,2019-05-21,0.35038078,0.195443,0.16423357
62,2019-05-28,0.33185828,0.19481885,0.1721298
63,2019-06-04,0.33110335,0.19348183,0.16469724
64,2019-06-11,0.30348107,0.1835667,0.17246203
65,2019-06-18,0.32353383,0.1932415,0.17075072
66,2019-06-25,0.3042151,0.18931408,0.17423452
67,2019-07-02,0.30862188,0.18803881,0.172118
68,2019-07-09,0.30041355,0.18396817,0.17501126
69,2019-07-16,0.31926557,0.18699779,0.17084597
70,2019-07-23,0.31565058,0.18992554,0.17124444
71,2019-07-30,0.31512693,0.18903682,0.17079756
72,2019-08-06,0.30312875,0.18775311,0.17554882
73,2019-08-13,0.30786154,0.19001612,0.17325786
74,2019-08-20,0.2930603,0.1856456,0.17611404
75,2019-08-27,0.29574853,0.18098493,0.1700554
76,2019-09-03,0.29594192,0.19421467,0.17530589
77,2019-09-10,0.32342765,0.19273077,0.17171507
78,2019-09-17,0.2991079,0.18565804,0.17454803
79,2019-09-24,0.26477763,0.17453833,0.18358053
80,2019-10-01,0.27481708,0.18586113,0.18378948
81,2019-10-08,0.3322835,0.2000234,0.16890132
82,2019-10-15,0.30615908,0.19570793,0.17417067
83,2019-10-22,0.3356956,0.19596592,0.16708103
84,2019-10-29,0.31355157,0.1961357,0.16971755
85,2019-11-05,0.32697406,0.19306044,0.1658132
86,2019-11-12,0.31894436,0.18918505,0.16739808
87,2019-11-19,0.35893145,0.19675495,0.15889934
88,2019-11-26,0.34851313,0.19493422,0.16173452
89,2019-12-03,0.3235223,0.19228554,0.16450377
90,2019-12-10,0.32020313,0.19071557,0.16945332
91,2019-12-17,0.3161103,0.19164996,0.16862307
92,2019-12-24,0.350294,0.19139178,0.15952589
93,2019-12-31,0.32089663,0.1935951,0.16809897
94,2020-01-07,0.3171402,0.20088084,0.17273402
95,2020-01-14,0.33162582,0.19942164,0.16675222
96,2020-01-21,0.37246948,0.20411052,0.15810905
97,2020-01-28,0.3734731,0.20840025,0.16261978
98,2020-02-04,0.3560087,0.20310472,0.16242038
99,2020-02-11,0.35358974,0.20249349,0.16290799
100,2020-02-18,0.34400022,0.20317923,0.16923702
101,2020-02-25,0.34548756,0.19665687,0.16277315
102,2020-03-03,0.35551202,0.202496,0.16338226
103,2020-03-10,0.3626189,0.20133828,0.15903415
104,2020-03-17,0.35390234,0.20529655,0.16516548
105,2020-03-24,0.3420167,0.20090738,0.16665669
106,2020-03-31,0.32234615,0.20022412,0.1730675
107,2020-04-07,0.33850977,0.19611216,0.1632075
108,2020-04-14,0.35560915,0.20242244,0.16233811
109,2020-04-21,0.36373025,0.20055786,0.15832072
110,2020-04-28,0.35414264,0.20256637,0.16189975
111,2020-05-05,0.3503047,0.20292735,0.16413675
112,2020-05-12,0.35035697,0.2000329,0.16274825
